model,feature,weight,direction,abs_weight
m0_w13_c36_svc_C0.4,three,0.4908622132417984,support_rumor,0.4908622132417984
m0_w13_c25_svc_C0.3,shooter,0.4878331519473338,support_rumor,0.4878331519473338
m0_w13_c25_svc_C0.35,hashtag ferguson pd,0.48418843614323676,support_rumor,0.48418843614323676
m0_w13_c25_svc_C0.35,ferguson pd,0.48354276798009294,support_rumor,0.48354276798009294
m0_w12_c35_svc_C0.2,two,0.4794869706014394,support_rumor,0.4794869706014394
m0_w13_c25_svc_C0.35,three,0.4776898509125097,support_rumor,0.4776898509125097
m0_w13_c36_svc_C0.4,in sydney cafe,0.47663178569730513,support_rumor,0.47663178569730513
m0_w13_c36_svc_C0.4,several,0.4751422480897096,support_rumor,0.4751422480897096
m0_w13_c36_svc_C0.4,distress,0.47294161414856184,support_rumor,0.47294161414856184
m0_w13_c25_svc_C0.3,store,0.47236474177899146,support_rumor,0.47236474177899146
m0_w13_c25_svc_C0.3,distress,0.4717882552095887,support_rumor,0.4717882552095887
m0_w12_c36_svc_C0.25,shooter,0.4709215401924743,support_rumor,0.4709215401924743
m0_w13_c25_svc_C0.3,ferguson pd,0.46987311605252663,support_rumor,0.46987311605252663
m0_w13_c25_svc_C0.3,hashtag ferguson pd,0.4682627299805859,support_rumor,0.4682627299805859
m0_w12_c36_svc_C0.25,three,0.4676947361487026,support_rumor,0.4676947361487026
m0_w13_c36_svc_C0.4,cafe,0.46636097220549333,support_rumor,0.46636097220549333
m0_w13_c25_svc_C0.35,several,0.46550354173641306,support_rumor,0.46550354173641306
m0_w13_c36_svc_C0.4,killed in,0.4643146826568443,support_rumor,0.4643146826568443
m0_w13_c36_svc_C0.4,is over,-0.6347187945488824,support_non_rumor,0.6347187945488824
m0_w13_c36_svc_C0.4,url,-0.5766899159505362,support_non_rumor,0.5766899159505362
m0_w13_c25_svc_C0.35,is over,-0.5723255864651628,support_non_rumor,0.5723255864651628
m0_w12_c36_svc_C0.25,is over,-0.5282086402006445,support_non_rumor,0.5282086402006445
m0_w13_c36_svc_C0.4,my,-0.5281961482682672,support_non_rumor,0.5281961482682672
m0_w13_c36_svc_C0.4,of hashtag,-0.5257168828554637,support_non_rumor,0.5257168828554637
m0_w13_c25_svc_C0.3,is over,-0.5210758947718381,support_non_rumor,0.5210758947718381
m0_w12_c36_svc_C0.25,url,-0.520810883016086,support_non_rumor,0.520810883016086
m0_w13_c25_svc_C0.35,of hashtag,-0.5154705077446639,support_non_rumor,0.5154705077446639
m0_w13_c25_svc_C0.35,in hashtag ferguson,-0.5116496953270244,support_non_rumor,0.5116496953270244
m0_w12_c36_svc_C0.25,of hashtag,-0.5099764645706514,support_non_rumor,0.5099764645706514
m0_w13_c36_svc_C0.4,in hashtag ferguson,-0.5024795890162989,support_non_rumor,0.5024795890162989
m0_w13_c25_svc_C0.35,url,-0.4981328492997121,support_non_rumor,0.4981328492997121
m0_w13_c25_svc_C0.3,of hashtag,-0.49434498815459627,support_non_rumor,0.49434498815459627
m0_w12_c36_svc_C0.25,ferguson url,-0.4937923202878422,support_non_rumor,0.4937923202878422
m0_w13_c25_svc_C0.3,in hashtag ferguson,-0.4929815665805949,support_non_rumor,0.4929815665805949
m0_w13_c25_svc_C0.35,crash,-0.49058915973569167,support_non_rumor,0.49058915973569167
m0_w13_c25_svc_C0.35,shooting,-0.48528313143253554,support_non_rumor,0.48528313143253554
m0_w13_c36_svc_C0.4,the sydney,-0.48522476371105633,support_non_rumor,0.48522476371105633
m0_w13_c25_svc_C0.3,url,-0.481700045191235,support_non_rumor,0.481700045191235
m0_w12_c35_svc_C0.2,of hashtag,-0.4814633205041437,support_non_rumor,0.4814633205041437
m0_w13_c25_svc_C0.3,crash,-0.47717676886258376,support_non_rumor,0.47717676886258376
m0_w13_c36_svc_C0.4,how,-0.47345187633640784,support_non_rumor,0.47345187633640784
m0_w12_c36_svc_C0.25,my,-0.4731988115089214,support_non_rumor,0.4731988115089214
m0_w12_c35_svc_C0.2,ferguson url,-0.4726930613819118,support_non_rumor,0.4726930613819118
m0_w12_c35_svc_C0.2,url,-0.471915948367734,support_non_rumor,0.471915948367734
m0_w13_c25_svc_C0.35,how,-0.4709390061200854,support_non_rumor,0.4709390061200854
m0_w13_c25_svc_C0.35,my,-0.4689890203936149,support_non_rumor,0.4689890203936149
m0_w13_c36_svc_C0.4,crash,-0.4675860768415475,support_non_rumor,0.4675860768415475
m0_w13_c36_svc_C0.4,at the,-0.46735508845799956,support_non_rumor,0.46735508845799956
m0_w13_c25_svc_C0.35,at the,-0.4648336262262865,support_non_rumor,0.4648336262262865
m0_w13_c36_svc_C0.4,hashtag url,-0.46203576937160096,support_non_rumor,0.46203576937160096
